epoch,layer,norm,mean,std
33,batch_normalization_1/W_1,0.86525387,-0.86525387,0.0
33,batch_normalization_1/W_2,0.33779725,0.33779725,0.0
33,batch_normalization_1/W_3,0.057527747,0.057527747,0.0
33,conv2d_1/W_0,2.5313904,0.007881729,0.21080191
33,conv2d_1/W_1,1.5231918,-0.22551024,0.30684233
33,dense_1/W_0,2.7488053,-0.09400031,0.68074197
33,dense_1/W_1,0.63180155,-0.63180155,0.0
34,batch_normalization_1/W_0,1.5811156,1.5811156,0.0
34,batch_normalization_1/W_1,0.8836114,-0.8836114,0.0
34,batch_normalization_1/W_2,0.33761525,0.33761525,0.0
34,batch_normalization_1/W_3,0.05755567,0.05755567,0.0
34,conv2d_1/W_0,2.5430446,0.0075356164,0.21178634
34,conv2d_1/W_1,1.5339411,-0.2331966,0.30443442
34,dense_1/W_0,2.7687972,-0.088858664,0.6864721
34,dense_1/W_1,0.64230543,-0.64230543,0.0
35,batch_normalization_1/W_0,1.5735694,1.5735694,0.0
35,batch_normalization_1/W_1,0.8845874,-0.8845874,0.0
35,batch_normalization_1/W_2,0.33933043,0.33933043,0.0
35,batch_normalization_1/W_3,0.057209164,0.057209164,0.0
35,conv2d_1/W_0,2.5347455,0.00853093,0.21105647
35,conv2d_1/W_1,1.5465432,-0.24376479,0.30010995
35,dense_1/W_0,2.770295,-0.08218917,0.6876797
35,dense_1/W_1,0.64990443,-0.64990443,0.0
36,batch_normalization_1/W_0,1.5778795,1.5778795,0.0
36,batch_normalization_1/W_1,0.89021957,-0.89021957,0.0
36,batch_normalization_1/W_2,0.33732635,0.33732635,0.0
36,batch_normalization_1/W_3,0.05727712,0.05727712,0.0
36,conv2d_1/W_0,2.558725,0.0097951405,0.213002
36,conv2d_1/W_1,1.5612937,-0.24588823,0.30313587
36,dense_1/W_0,2.7973096,-0.08667903,0.6939348
36,dense_1/W_1,0.66896975,-0.66896975,0.0
37,batch_normalization_1/W_0,1.5810697,1.5810697,0.0
37,batch_normalization_1/W_1,0.89280236,-0.89280236,0.0
37,batch_normalization_1/W_2,0.3378118,0.3378118,0.0
37,batch_normalization_1/W_3,0.057214763,0.057214763,0.0
37,conv2d_1/W_0,2.5614257,0.008144135,0.21329671
37,conv2d_1/W_1,1.5704168,-0.25457484,0.29888076
37,dense_1/W_0,2.8147717,-0.086095884,0.6984062
37,dense_1/W_1,0.6771189,-0.6771189,0.0
38,batch_normalization_1/W_0,1.579772,1.579772,0.0
38,batch_normalization_1/W_1,0.89820755,-0.89820755,0.0
38,batch_normalization_1/W_2,0.33615473,0.33615473,0.0
38,batch_normalization_1/W_3,0.05759483,0.05759483,0.0
38,conv2d_1/W_0,2.5703013,0.009678104,0.213973
38,conv2d_1/W_1,1.5965294,-0.26124743,0.30175558
38,dense_1/W_0,2.8419807,-0.08809491,0.70501256
38,dense_1/W_1,0.690502,-0.690502,0.0
39,batch_normalization_1/W_0,1.5846887,1.5846887,0.0
39,batch_normalization_1/W_1,0.88973004,-0.88973004,0.0
39,batch_normalization_1/W_2,0.3381094,0.3381094,0.0
39,batch_normalization_1/W_3,0.057403028,0.057403028,0.0
39,conv2d_1/W_0,2.5754018,0.008839849,0.21443468
39,conv2d_1/W_1,1.6110083,-0.2642631,0.30393133
39,dense_1/W_0,2.856346,-0.08703526,0.7087626
39,dense_1/W_1,0.7083366,-0.7083366,0.0
40,batch_normalization_1/W_0,1.5846936,1.5846936,0.0
40,batch_normalization_1/W_1,0.8963042,-0.8963042,0.0
40,batch_normalization_1/W_2,0.33922872,0.33922872,0.0
40,batch_normalization_1/W_3,0.057373572,0.057373572,0.0
40,conv2d_1/W_0,2.576845,0.010050551,0.21450175
40,conv2d_1/W_1,1.6208313,-0.27202296,0.30032793
40,dense_1/W_0,2.8681843,-0.08091928,0.7124655
40,dense_1/W_1,0.71416974,-0.71416974,0.0
41,batch_normalization_1/W_0,1.5643003,1.5643003,0.0
41,batch_normalization_1/W_1,0.9121498,-0.9121498,0.0
41,batch_normalization_1/W_2,0.34046033,0.34046033,0.0
41,batch_normalization_1/W_3,0.057429355,0.057429355,0.0
41,conv2d_1/W_0,2.5674884,0.0076811034,0.21381944
41,conv2d_1/W_1,1.6469761,-0.2805485,0.301373
41,dense_1/W_0,2.8741224,-0.08012064,0.71404964
41,dense_1/W_1,0.7255564,-0.7255564,0.0
42,batch_normalization_1/W_0,1.566086,1.566086,0.0
42,batch_normalization_1/W_1,0.91686696,-0.91686696,0.0
42,batch_normalization_1/W_2,0.3381913,0.3381913,0.0
42,batch_normalization_1/W_3,0.0570372,0.0570372,0.0
42,conv2d_1/W_0,2.584689,0.009292919,0.21519019
42,conv2d_1/W_1,1.6611578,-0.28412834,0.3028802
42,dense_1/W_0,2.894115,-0.08221529,0.71884245
42,dense_1/W_1,0.74306184,-0.74306184,0.0
43,batch_normalization_1/W_0,1.5847296,1.5847296,0.0
43,batch_normalization_1/W_1,0.9064867,-0.9064867,0.0
43,batch_normalization_1/W_2,0.33686998,0.33686998,0.0
43,batch_normalization_1/W_3,0.057758614,0.057758614,0.0
43,conv2d_1/W_0,2.6026402,0.0077726576,0.21674736
43,conv2d_1/W_1,1.6660898,-0.287695,0.30120182
43,dense_1/W_0,2.9193642,-0.08141573,0.72528577
43,dense_1/W_1,0.75623626,-0.75623626,0.0
44,batch_normalization_1/W_0,1.5788305,1.5788305,0.0
44,batch_normalization_1/W_1,0.9032499,-0.9032499,0.0
44,batch_normalization_1/W_2,0.33711812,0.33711812,0.0
44,batch_normalization_1/W_3,0.058056507,0.058056507,0.0
44,conv2d_1/W_0,2.609519,0.0075048185,0.21733037
44,conv2d_1/W_1,1.6812861,-0.29129258,0.3030162
44,dense_1/W_0,2.9237444,-0.083021834,0.7262059
44,dense_1/W_1,0.7742121,-0.7742121,0.0
45,batch_normalization_1/W_0,1.5791748,1.5791748,0.0
45,batch_normalization_1/W_1,0.911509,-0.911509,0.0
45,batch_normalization_1/W_2,0.33744824,0.33744824,0.0
45,batch_normalization_1/W_3,0.057623338,0.057623338,0.0
45,conv2d_1/W_0,2.6141636,0.0085478565,0.2176792
45,conv2d_1/W_1,1.692333,-0.29840147,0.2999266
45,dense_1/W_0,2.939164,-0.08209234,0.73019075
45,dense_1/W_1,0.78339463,-0.78339463,0.0
46,batch_normalization_1/W_0,1.5878706,1.5878706,0.0
46,batch_normalization_1/W_1,0.8934523,-0.8934523,0.0
46,batch_normalization_1/W_2,0.3376883,0.3376883,0.0
46,batch_normalization_1/W_3,0.05735873,0.05735873,0.0
46,conv2d_1/W_0,2.6232224,0.010050642,0.21837069
46,conv2d_1/W_1,1.7048178,-0.29977095,0.30296466
46,dense_1/W_0,2.955533,-0.08438519,0.7340487
46,dense_1/W_1,0.8015559,-0.8015559,0.0
47,batch_normalization_1/W_0,1.5945001,1.5945001,0.0
47,batch_normalization_1/W_1,0.8946234,-0.8946234,0.0
47,batch_normalization_1/W_2,0.33734417,0.33734417,0.0
47,batch_normalization_1/W_3,0.05767714,0.05767714,0.0
47,conv2d_1/W_0,2.6385338,0.008048992,0.21973044
47,conv2d_1/W_1,1.715342,-0.30036432,0.3060738
47,dense_1/W_0,2.9759786,-0.0825375,0.7394022
47,dense_1/W_1,0.8207489,-0.8207489,0.0
48,batch_normalization_1/W_0,1.5768905,1.5768905,0.0
48,batch_normalization_1/W_1,0.9015471,-0.9015471,0.0
48,batch_normalization_1/W_2,0.34178707,0.34178707,0.0
48,batch_normalization_1/W_3,0.056829333,0.056829333,0.0
48,conv2d_1/W_0,2.6363957,0.009989417,0.21947241
48,conv2d_1/W_1,1.7264022,-0.30934536,0.30097252
48,dense_1/W_0,2.967799,-0.08022207,0.7376001
48,dense_1/W_1,0.8250415,-0.8250415,0.0
49,batch_normalization_1/W_0,1.5993757,1.5993757,0.0
49,batch_normalization_1/W_1,0.8953323,-0.8953323,0.0
49,batch_normalization_1/W_2,0.33830816,0.33830816,0.0
49,batch_normalization_1/W_3,0.057376362,0.057376362,0.0
49,conv2d_1/W_0,2.6526093,0.008913209,0.220871
49,conv2d_1/W_1,1.7276304,-0.31052673,0.30019546
49,dense_1/W_0,2.9933105,-0.08052954,0.74398196
49,dense_1/W_1,0.8424031,-0.8424031,0.0
